"cg","metric","con","spearman","p.value"
"msh-umls","INTRINSIC_RADA","MiniMayoSRS_Combined",0.268154948698201,0.159590275132261
"msh-umls","JACCARD","MiniMayoSRS_Combined",0.270972240422824,0.155083172702257
"msh-umls","SOKAL","MiniMayoSRS_Combined",0.270972240422824,0.155083172702257
"msh-umls","WUPALMER","MiniMayoSRS_Combined",0.260230405624325,0.172767234615153
"sct-msh-csp-aod","LCH","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_similarity",0.384573297269723,2.16590776001016e-21
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_similarity",0.333630624753490,3.50415895023261e-16
"sct-msh-csp-aod","PATH","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_similarity",0.336849405433756,1.74888785345579e-16
"sct-msh-csp-aod","RADA","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_similarity",0.336856442844326,1.74621687413376e-16
"sct-msh-csp-aod","JACCARD","UMNSRS_similarity",0.333630624753490,3.50415895023261e-16
"sct-msh-csp-aod","SOKAL","UMNSRS_similarity",0.333622031130949,3.51062848147458e-16
"sct-msh-csp-aod","WUPALMER","UMNSRS_similarity",0.329033268581624,9.32289824732618e-16
"sct-msh-csp-aod","LCH","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_relatedness",0.330801616543601,1.8652287005323e-16
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_relatedness",0.247881379794896,1.14216979895519e-09
"sct-msh-csp-aod","PATH","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_relatedness",0.257643781170382,2.35523257367305e-10
"sct-msh-csp-aod","RADA","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_relatedness",0.257655627704754,2.35062932411398e-10
"sct-msh-csp-aod","JACCARD","UMNSRS_relatedness",0.247881379794896,1.14216979895519e-09
"sct-msh-csp-aod","SOKAL","UMNSRS_relatedness",0.24787543004345,1.14324630559902e-09
"sct-msh-csp-aod","WUPALMER","UMNSRS_relatedness",0.241429285774536,3.1274583706892e-09
"sct-msh-csp-aod","LCH","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_LCH","MayoSRS",0.395378811792960,4.27511617879145e-05
"sct-msh-csp-aod","INTRINSIC_LIN","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","PATH","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_PATH","MayoSRS",0.376736639513781,0.000103126744376363
"sct-msh-csp-aod","RADA","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_RADA","MayoSRS",0.376736639513781,0.000103126744376363
"sct-msh-csp-aod","JACCARD","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","SOKAL","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","WUPALMER","MayoSRS",0.379508224051286,9.07738618368624e-05
"sct-msh-csp-aod","LCH","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.602853532421918,0.000537828503894719
"sct-msh-csp-aod","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","PATH","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.603178070542518,0.000533137605340642
"sct-msh-csp-aod","RADA","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.603178070542518,0.000533137605340642
"sct-msh-csp-aod","JACCARD","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","SOKAL","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","WUPALMER","MiniMayoSRS_Physicians",0.618075188493114,0.000352942351200178
"sct-msh-csp-aod","LCH","MiniMayoSRS_Coders",0.642818205129702,0.000169572188925176
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Coders",0.683194098805638,4.42023885546286e-05
"sct-msh-csp-aod","INTRINSIC_LIN","MiniMayoSRS_Coders",0.663508665230434,8.72914754477756e-05
"sct-msh-csp-aod","PATH","MiniMayoSRS_Coders",0.642818205129702,0.000169572188925176
"sct-msh-csp-aod","INTRINSIC_PATH","MiniMayoSRS_Coders",0.671003018216484,6.77686153609209e-05
"sct-msh-csp-aod","RADA","MiniMayoSRS_Coders",0.642818205129702,0.000169572188925176
"sct-msh-csp-aod","INTRINSIC_RADA","MiniMayoSRS_Coders",0.671003018216484,6.77686153609209e-05
"sct-msh-csp-aod","JACCARD","MiniMayoSRS_Coders",0.663508665230434,8.72914754477756e-05
"sct-msh-csp-aod","SOKAL","MiniMayoSRS_Coders",0.663508665230434,8.72914754477756e-05
"sct-msh-csp-aod","WUPALMER","MiniMayoSRS_Coders",0.657711661540931,0.000105671242642012
"sct-msh-csp-aod","LCH","MiniMayoSRS_Combined",0.626091354108382,0.000280235582830821
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Combined",0.644374222406373,0.000161585576929807
"sct-msh-csp-aod","INTRINSIC_LIN","MiniMayoSRS_Combined",0.636481998992227,0.000205824390380071
"sct-msh-csp-aod","PATH","MiniMayoSRS_Combined",0.626091354108382,0.000280235582830821
"sct-msh-csp-aod","INTRINSIC_PATH","MiniMayoSRS_Combined",0.642709807201544,0.000170141372813962
"sct-msh-csp-aod","RADA","MiniMayoSRS_Combined",0.626091354108382,0.000280235582830821
"sct-msh-csp-aod","INTRINSIC_RADA","MiniMayoSRS_Combined",0.642709807201544,0.000170141372813962
"sct-msh-csp-aod","JACCARD","MiniMayoSRS_Combined",0.636481998992227,0.000205824390380071
"sct-msh-csp-aod","SOKAL","MiniMayoSRS_Combined",0.636481998992227,0.000205824390380071
"sct-msh-csp-aod","WUPALMER","MiniMayoSRS_Combined",0.65369982891844,0.000120328908938968
"umls","LCH","UMNSRS_similarity",0.403953559522064,1.25426081112518e-23
"umls","INTRINSIC_LCH","UMNSRS_similarity",0.460012874863192,5.51099840189914e-31
"umls","INTRINSIC_LIN","UMNSRS_similarity",0.426803096378786,1.84010611477072e-26
"umls","PATH","UMNSRS_similarity",0.403953559522064,1.25426081112518e-23
"umls","INTRINSIC_PATH","UMNSRS_similarity",0.430249054855216,6.58187272657129e-27
"umls","RADA","UMNSRS_similarity",0.403953559522064,1.25426081112518e-23
"umls","INTRINSIC_RADA","UMNSRS_similarity",0.4302389633583,6.60183327445267e-27
"umls","JACCARD","UMNSRS_similarity",0.426803096378786,1.84010611477072e-26
"umls","SOKAL","UMNSRS_similarity",0.426803096378786,1.84010611477072e-26
"umls","WUPALMER","UMNSRS_similarity",0.388757884802791,7.32902917858413e-22
"umls","LCH","UMNSRS_relatedness",0.342016833594095,1.49879017934496e-17
"umls","INTRINSIC_LCH","UMNSRS_relatedness",0.386383204553133,2.44255200478484e-22
"umls","INTRINSIC_LIN","UMNSRS_relatedness",0.349782265349588,2.46072779690216e-18
"umls","PATH","UMNSRS_relatedness",0.342016833594095,1.49879017934496e-17
"umls","INTRINSIC_PATH","UMNSRS_relatedness",0.353512752974829,1.01452692940375e-18
"umls","RADA","UMNSRS_relatedness",0.342016833594095,1.49879017934496e-17
"umls","INTRINSIC_RADA","UMNSRS_relatedness",0.353514190936444,1.01417818218109e-18
"umls","JACCARD","UMNSRS_relatedness",0.349782265349588,2.46072779690216e-18
"umls","SOKAL","UMNSRS_relatedness",0.349782265349588,2.46072779690216e-18
"umls","WUPALMER","UMNSRS_relatedness",0.323551886550776,9.01451077263832e-16
"umls","LCH","MayoSRS",0.295286721213277,0.00271932008417564
"umls","INTRINSIC_LCH","MayoSRS",0.440377422192653,4.05731079087163e-06
"umls","INTRINSIC_LIN","MayoSRS",0.39291827281234,4.81667538945004e-05
"umls","PATH","MayoSRS",0.295286721213277,0.00271932008417564
"umls","INTRINSIC_PATH","MayoSRS",0.405694865085063,2.56609515060283e-05
"umls","RADA","MayoSRS",0.295286721213277,0.00271932008417564
"umls","INTRINSIC_RADA","MayoSRS",0.405694865085063,2.56609515060283e-05
"umls","JACCARD","MayoSRS",0.39291827281234,4.81667538945004e-05
"umls","SOKAL","MayoSRS",0.39291827281234,4.81667538945004e-05
"umls","WUPALMER","MayoSRS",0.377821776542504,9.8115149030698e-05
"umls","LCH","MiniMayoSRS_Physicians",0.583996524824988,0.00088085414121379
"umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.674174934140575,6.07523748720681e-05
"umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.68693771129023,3.86102147419549e-05
"umls","PATH","MiniMayoSRS_Physicians",0.583996524824988,0.00088085414121379
"umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.674174934140575,6.07523748720681e-05
"umls","RADA","MiniMayoSRS_Physicians",0.583996524824988,0.00088085414121379
"umls","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.674174934140575,6.07523748720681e-05
"umls","JACCARD","MiniMayoSRS_Physicians",0.68693771129023,3.86102147419549e-05
"umls","SOKAL","MiniMayoSRS_Physicians",0.68693771129023,3.86102147419549e-05
"umls","WUPALMER","MiniMayoSRS_Physicians",0.661650991895789,9.28446027382092e-05
"umls","LCH","MiniMayoSRS_Coders",0.645890981996786,0.000154123092300288
"umls","INTRINSIC_LCH","MiniMayoSRS_Coders",0.676992639512395,5.50706928119522e-05
"umls","INTRINSIC_LIN","MiniMayoSRS_Coders",0.67957658088458,5.02821164808029e-05
"umls","PATH","MiniMayoSRS_Coders",0.645890981996786,0.000154123092300288
"umls","INTRINSIC_PATH","MiniMayoSRS_Coders",0.676992639512395,5.50706928119522e-05
"umls","RADA","MiniMayoSRS_Coders",0.645890981996786,0.000154123092300288
"umls","INTRINSIC_RADA","MiniMayoSRS_Coders",0.676992639512395,5.50706928119522e-05
"umls","JACCARD","MiniMayoSRS_Coders",0.67957658088458,5.02821164808029e-05
"umls","SOKAL","MiniMayoSRS_Coders",0.67957658088458,5.02821164808029e-05
"umls","WUPALMER","MiniMayoSRS_Coders",0.742269048340178,4.03631226942787e-06
"umls","LCH","MiniMayoSRS_Combined",0.601490163729798,0.000557932782083125
