"cg","metric","con","spearman","p.value"
"sct-msh","RADA","MiniMayoSRS_Physicians",0.505565015035588,0.00514698857436784
"sct-msh","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.486084255379608,0.00750726612501462
"sct-msh","JACCARD","MiniMayoSRS_Physicians",0.487592272717911,0.00729665021659843
"sct-msh","SOKAL","MiniMayoSRS_Physicians",0.487592272717911,0.00729665021659843
"sct-msh","LCH","MiniMayoSRS_Coders",0.623060966877055,0.000305996846647441
"sct-msh","INTRINSIC_LCH","MiniMayoSRS_Coders",0.663297750239816,8.79067281390727e-05
"sct-msh","INTRINSIC_LIN","MiniMayoSRS_Coders",0.53317389264854,0.00289994415787591
"sct-msh","PATH","MiniMayoSRS_Coders",0.623060966877055,0.000305996846647441
"sct-msh","INTRINSIC_PATH","MiniMayoSRS_Coders",0.535250013914633,0.00277206554007396
"sct-msh","RADA","MiniMayoSRS_Coders",0.623060966877055,0.000305996846647441
"sct-msh","INTRINSIC_RADA","MiniMayoSRS_Coders",0.535250013914633,0.00277206554007396
"sct-msh","JACCARD","MiniMayoSRS_Coders",0.53317389264854,0.00289994415787591
"sct-msh","SOKAL","MiniMayoSRS_Coders",0.53317389264854,0.00289994415787591
"sct-msh","LCH","MiniMayoSRS_Combined",0.556674465747608,0.00171101997496082
"sct-msh","INTRINSIC_LCH","MiniMayoSRS_Combined",0.63366371155849,0.000224040912457793
"sct-msh","INTRINSIC_LIN","MiniMayoSRS_Combined",0.526591572502934,0.0033394881418677
"sct-msh","PATH","MiniMayoSRS_Combined",0.556674465747608,0.00171101997496082
"sct-msh","INTRINSIC_PATH","MiniMayoSRS_Combined",0.525340761166822,0.0034291750613047
"sct-msh","RADA","MiniMayoSRS_Combined",0.556674465747608,0.00171101997496082
"sct-msh","INTRINSIC_RADA","MiniMayoSRS_Combined",0.525340761166822,0.0034291750613047
"sct-msh","JACCARD","MiniMayoSRS_Combined",0.526591572502934,0.0033394881418677
"sct-msh","SOKAL","MiniMayoSRS_Combined",0.526591572502934,0.0033394881418677
"sct-msh-csp-aod","LCH","UMNSRS_similarity",0.321285452088831,4.67329402980533e-15
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_similarity",0.383278790193923,3.01892066651518e-21
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_similarity",0.332347822307528,4.61195065499293e-16
"sct-msh-csp-aod","PATH","UMNSRS_similarity",0.321285452088831,4.67329402980533e-15
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_similarity",0.335185270124982,2.5075466985712e-16
"sct-msh-csp-aod","RADA","UMNSRS_similarity",0.321285452088831,4.67329402980533e-15
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_similarity",0.335192309948594,2.50373890760238e-16
"sct-msh-csp-aod","JACCARD","UMNSRS_similarity",0.332347822307528,4.61195065499293e-16
"sct-msh-csp-aod","SOKAL","UMNSRS_similarity",0.332339225825821,4.62042831336959e-16
"sct-msh-csp-aod","LCH","UMNSRS_relatedness",0.229156145929814,1.96485428573157e-08
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_relatedness",0.330185318047035,2.13605122074731e-16
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_relatedness",0.250112917746467,8.00809360735639e-10
"sct-msh-csp-aod","PATH","UMNSRS_relatedness",0.229156145929814,1.96485428573157e-08
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_relatedness",0.260078687788725,1.57216319046495e-10
"sct-msh-csp-aod","RADA","UMNSRS_relatedness",0.229156145929814,1.96485428573157e-08
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_relatedness",0.26009054052851,1.56905694136682e-10
"sct-msh-csp-aod","JACCARD","UMNSRS_relatedness",0.250112917746467,8.00809360735639e-10
"sct-msh-csp-aod","SOKAL","UMNSRS_relatedness",0.250106964833132,8.01571903393093e-10
"sct-msh-csp-aod","LCH","MayoSRS",0.347283849725012,0.000373502198353533
"sct-msh-csp-aod","INTRINSIC_LCH","MayoSRS",0.397879059891941,3.78348501065069e-05
"sct-msh-csp-aod","INTRINSIC_LIN","MayoSRS",0.365695168481737,0.00016952516654931
"sct-msh-csp-aod","PATH","MayoSRS",0.347283849725012,0.000373502198353533
"sct-msh-csp-aod","INTRINSIC_PATH","MayoSRS",0.378054466752287,9.70704025554669e-05
"sct-msh-csp-aod","RADA","MayoSRS",0.347283849725012,0.000373502198353533
"sct-msh-csp-aod","INTRINSIC_RADA","MayoSRS",0.378054466752287,9.70704025554669e-05
"sct-msh-csp-aod","JACCARD","MayoSRS",0.365695168481737,0.00016952516654931
"sct-msh-csp-aod","SOKAL","MayoSRS",0.365695168481737,0.00016952516654931
"sct-msh-csp-aod","LCH","MiniMayoSRS_Physicians",0.549652832267913,0.00201121596319723
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.689189966081345,3.55588981693537e-05
"sct-msh-csp-aod","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.57886445595857,0.00100227930860062
"sct-msh-csp-aod","PATH","MiniMayoSRS_Physicians",0.549652832267913,0.00201121596319723
"sct-msh-csp-aod","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.601648480825452,0.000555564894726779
